"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Latent spatial learning in an environment with a distinctive shape.","https://scispace.com/paper/latent-spatial-learning-in-an-environment-with-a-distinctive-31olqxm0e2","2012","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Murray R. Horne
Kerry E. Gilroy
Steven F. Cuell
John M. Pearce","10.1037/A0027288","","Four experiments were conducted with rats in order to determine whether being placed on a platform in one corner of a rectangular swimming pool results in latent spatial learning. Rats in Experiments 1–3 received four trials a day of being placed on the platform. During a subsequent test trial, in which they were released into the pool without the platform, the rats exhibited a preference for swimming in the correct corners of the pool (those with the same geometric properties as the corner containing the platform during training), than the two remaining, incorrect corners. This effect was seen when the interval between the final placement trial and the test trial was as much as 24 hr (Experiment 2) and after varying numbers of sessions of placement training (Experiment 3). Experiment 4 revealed that when the test took place in a kite-shaped arena, after placement training in a rectangle, a stronger preference was shown for the corner that was geometrically equivalent to the correct rather than the incorrect corners in the rectangle. The placement treatment is said to result in latent spatial learning based on the development of S-S associations.","Experiment 4 revealed that when the test took place in a kite-shaped arena, after placement training in a rectangle, a stronger preference was shown for the corner that was geometrically equivalent to the correct rather than the incorrect corners in the rectangle."
"Spatial Cognitive Maps","https://scispace.com/paper/spatial-cognitive-maps-404fx4e3sa","2009","Book Chapter","","Bruno Poucet
Etienne Save","10.1016/B978-008045046-9.01121-9","","Animals may use a variety of behavioral strategies to orient in their surroundings. One of these strategies relies on the buildup of a spatial representation of the environment, or spatial cognitive map. This article reviews the properties of cognitive maps and contrasts their behavioral properties with those of other navigation strategies. Cognitive maps are built during exploration of the environment, and their content includes topological and metric information, mostly based on configurations of cues stemming from the distal environment. Recent neurobiological data provide some hints as to neural bases of cognitive maps by suggesting a central role for the hippocampal formation and its various cell populations.","The properties of cognitive maps are reviewed and their behavioral properties are compared with those of other navigation strategies, mostly based on configurations of cues stemming from the distal environment."
"Spatial learning by rats across visually disconnected environments","https://scispace.com/paper/spatial-learning-by-rats-across-visually-disconnected-2zvmcghlup","2000","Journal Article","Animal Learning & Behavior","Jérôme Rossier
Marie Claude Grobéty
Françoise Schenk","10.3758/BF03199769","","Experiments were designed in which some properties of spatial representations in rats could be examined. Adult subjects were trained to escape through a hole at a fixed position in a large circular arena (see Schenk, 1989). The experiments were conducted in the dark, with a limited number of controlled visual light cues, in order to assess the minimal cue requirement for place learning. Three light cues identical in shape, height, and distance from the table were used. Depending on the condition, they were either permanently on or alternatively on or off, contingent on the position of the rat in the field. Two questions were asked: (1) How many identical visual cues were necessary for spatial discrimination in the dark, and (2) could rats integrate the relative positions of separate cues, under conditions in which the rat was never allowed to perceive all three cues simultaneously. The results suggest that rats are able to achieve a place discrimination task even if the three cues necessary for efficient orientation can never be seen simultaneously. A dissociation between the discrimination of the spatial position of the goal and the capacity to reach it by a direct path suggests that, with a reduced number of cues, prolonged locomotion might be required for accurate orientation in the environment.","The results suggest that rats are able to achieve a place discrimination task even if the three cues necessary for efficient orientation can never be seen simultaneously, and suggests that, with a reduced number of cues, prolonged locomotion might be required for accurate orientation in the environment."
"eLife assessment: Stochastic characterization of navigation strategies in an automated variant of the Barnes maze","https://scispace.com/paper/elife-assessment-stochastic-characterization-of-navigation-ontwspux1l","2023","Peer Review","","Adrien Peyrache","10.7554/elife.88648.1.sa0","","Animals can use a repertoire of strategies to navigate in an environment, and it remains an intriguing question how these strategies are selected based on the nature and familiarity of environments. To investigate this question, we developed a fully automated variant of the Barnes maze, characterized by 24 vestibules distributed along the periphery of a circular arena, and monitored the trajectories of mice over 15 days as they learned to navigate from a random start vestibule to a goal vestibule. We show that the patterns of vestibule visits can be reproduced by the combination of three stochastic processes reminiscent of random, serial and spatial strategies. The processes randomly selected vestibules based on either uniform (random) or biased (serial and spatial) probability distributions; closely matched experimental data across a range of statistical distributions characterizing the length, distribution, step size, direction, and stereotypy of vestibule sequences; and revealed a shift from random to spatial and serial strategies over time, with a strategy switch occurring approximately every 6 vestibule visits. Our study provides a novel apparatus and analysis toolset for tracking the repertoire of navigation strategies and demonstrates that a set of stochastic processes can largely account for exploration patterns in the Barnes maze. ","The navigation strategies of mice in the Barnes maze can be characterized by a combination of stochastic processes."
"Unreinforced spatial (latent) learning is mediated by a circuit that includes dorsal entorhinal cortex and fimbria fornix.","https://scispace.com/paper/unreinforced-spatial-latent-learning-is-mediated-by-a-1m28ujpla2","2007","Journal Article","Hippocampus","Stephane Gaskin
Norman M. White","10.1002/HIPO.20295","","The relationship of the entorhinal cortex (EC) and fimbria-fornix (FF) in unreinforced spatial (latent) learning was studied using the conditioned-cue-preference task on an eight-arm radial maze. The maze was turned before every trial to eliminate the use of local cues. During three pre-exposure sessions, food-deprived rats explored the center platform and two adjacent arms of the maze. Since most of the same cues were visible from both arm locations, discriminating them required spatial learning. The rats were then alternately confined to the end of each arm over several days: one arm always contained food, the other was empty. Finally, the rats were allowed free access to both arms with no food present. Normal rats spent more time in their food-paired than in their unpaired arms showing that they learned to discriminate between the arm locations. Bilateral micro-injections of muscimol into the dorsal, but not into the ventral EC, given before the pre-exposure sessions only, impaired the discrimination. The discrimination was also impaired in rats with unilateral lesions of FF and contralateral injections of muscimol into the dorsal EC given before the pre-exposure sessions. Ipsilateral FF lesions and entorhinal inactivation had no effect. These results indicate that the acquisition of information during unreinforced exploration of a novel environment requires an intact circuit involving the dorsal EC and fimbria fornix. Together with previous reports, that this form of learning does not require a functional hippocampus, (Gaskin et al. (2005) Hippocampus 15:1085-1093) the findings also suggest that the acquisition of certain kinds of unreinforced information by this circuit is independent of the hippocampus.","The results indicate that the acquisition of information during unreinforced exploration of a novel environment requires an intact circuit involving the dorsal EC and fimbria fornix, and suggest that the Acquisition of certain kinds of unreinforcing information by this circuit is independent of the hippocampus."
"Dissociating task acquisition from expression during learning reveals latent knowledge","https://scispace.com/paper/dissociating-task-acquisition-from-expression-during-3wyh5tbi8w","2018","Posted Content","bioRxiv","Kishore V. Kuchibhotla
Tom Hindmarsh Sten
Tom Hindmarsh Sten
Eleni S. Papadoyannis
Eleni S. Papadoyannis
Sarah Elnozahy
Kelly Fogelson
Rupesh Kumar
Yves Boubenec
Peter C. Holland
Srdjan Ostojic
Robert C. Froemke
Robert C. Froemke
Robert C. Froemke","10.1101/489450","","SUMMARY Performance on cognitive tasks during learning is used to measure intelligence, yet it remains controversial since such testing is susceptible to contextual factors. To what extent does performance during learning depend on the testing context, rather than underlying knowledge? We trained mice, rats and ferrets on a range of tasks to examine how testing context impacts the acquisition of knowledge versus its expression. We interleaved reinforced trials with “probe” trials in which we omitted reinforcement. Across tasks, each animal species performed remarkably better in probe trials during learning and inter-animal variability was strikingly reduced. Reinforcement feedback is thus critical for learning-related plasticity but, paradoxically, masks the expression of underlying knowledge. We capture these results with a network model in which learning occurs during reinforced trials while context modulates only the read-out parameters. Probing learning by omitting reinforcement thus uncovers latent knowledge and identifies context—not “smartness”—as the major source of individual variability. HIGHLIGHTS Knowledge acquisition and expression can be segregated by the introduction of non-reinforced probe trials across a variety of animal species and behavioral tasks. Animals learn much faster and in a more stereotyped way in non-reinforced probe trials than their performance in the presence of reinforcement suggests. Underperformance and variability in performance arise from sensitivity to the behavioral testing context, not acquisition of sensorimotor associations. A circuit model accounts for context-dependent performance by modulating the integration of sensorimotor associations. eTOC Kuchibhotla et al. show the acquisition and expression of knowledge can be behaviorally dissociated in mice, rats, and ferrets across a variety of sensorimotor tasks. Across animals, variability in performance arises from the testing context, not underlying aptitude.","The acquisition and expression of knowledge can be behaviorally dissociated in mice, rats, and ferrets across a variety of sensorimotor tasks and is captured with a network model in which learning occurs during reinforced trials while context modulates only the read-out parameters."
"Stochastic characterization of navigation strategies in an automated variant of the Barnes maze","https://scispace.com/paper/stochastic-characterization-of-navigation-strategies-in-an-2l87xud3","2023","Posted Content","bioRxiv","Ju-Young Lee
Dahee Jung
Sébastien Royer","10.1101/2023.04.14.536859","","Animals can use a repertoire of strategies to navigate in an environment, and it remains an intriguing question how these strategies are selected based on the nature and familiarity of environments. To investigate this question, we developed a fully automated variant of the Barnes maze, characterized by 24 vestibules distributed along the periphery of a circular arena, and monitored the trajectories of mice over 15 days as they learned to navigate from a random start vestibule to a goal vestibule. We show that the patterns of vestibule visits can be reproduced by the combination of three stochastic processes reminiscent of random, serial and spatial strategies. The processes randomly selected vestibules based on either uniform (random) or biased (serial and spatial) probability distributions; closely matched experimental data across a range of statistical distributions characterizing the length, distribution, step size, direction, and stereotypy of vestibule sequences; and revealed a shift from random to spatial and serial strategies over time, with a strategy switch occurring approximately every 6 vestibule visits. Our study provides a novel apparatus and analysis toolset for tracking the repertoire of navigation strategies and demonstrates that a set of stochastic processes can largely account for exploration patterns in the Barnes maze.","In this paper , the authors developed a fully automated variant of the Barnes maze, characterized by 24 vestibules distributed along the periphery of a circular arena, and monitored the trajectories of mice over 15 days as they learned to navigate from a random start vestibule to a goal voxel."
"The format of the cognitive map depends on the structure of the environment","https://scispace.com/paper/the-format-of-the-cognitive-map-depends-on-the-structure-of-2dcp0y60","","","","Michael Peer
Russell A. Epstein","","","Humans and animals form cognitive maps that allow them to navigate through large-scale environments. Despite decades of research on these maps, a central question remains unclear: are these maps similar in nature across all environments, or are different kinds of maps formed in different kinds of environments? To investigate this, we examined spatial learning within three virtual environments: an open courtyard with patios connected by paths (open maze), a set of rooms connected by corridors (closed maze), and a set of isolated rooms connected only by teleporters (teleport maze). Importantly, all three environments shared the same topological graph structure. Post-learning tests showed that the environmental structure affected the accuracy, format, and variability of participants’ spatial representations. The open","In this paper , the authors examined spatial learning within three virtual environments: an open courtyard with patios connected by paths (open maze), a set of rooms connected by corridors (closed maze), and isolated rooms connected only by teleporters (teleport maze)."
"Distinction between places and paths in rats' spatial representations","https://scispace.com/paper/distinction-between-places-and-paths-in-rats-spatial-3e1pnnn8xh","1994","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Steven W. Brown
Roger L. Mellgren","10.1037/0097-7403.20.1.20","","Rats were trained on a 3-dimensional, 4-arm radial maze. In Experiment 1, Ss trained to climb to the single goal platform chose fewer novel routes to the goal than Ss trained to climb to the 4 spatially distinct platforms. In Experiment 2 a reinforcement contingency was imposed, requiring a novel route choice on each trial to receive reinforcement. Learning to associate route choice with reinforcement outcome was much more difficult for Ss tested with the single goal than for Ss tested with the 4 distinct goals. In Experiment 3 a partitioned central platform group learned the reinforcement contingency as quickly as the Ss given 4 spatially distinct platforms. In Experiment 4, distinctive floor inserts did not affect performance relative to no inserts.","Rats were trained on a 3-dimensional, 4-arm radial maze and trained to climb to the single goal platform, with a reinforcement contingency imposed, and learning to associate route choice with reinforcement outcome was much more difficult for Ss tested with the single goals."
"Spatial mapping takes time.","https://scispace.com/paper/spatial-mapping-takes-time-2s8n5ihuj4","1998","Journal Article","Hippocampus","Ian Q. Whishaw","10.1002/(SICI)1098-1063(1998)8:2<122::AID-HIPO4>3.0.CO;2-N","","The experiment tested the prediction that spatial mapping takes time and asked whether time use is reflected in the overt behavior of a performing animal. The study examines this question by exploiting the expected behavioral differences of control rats and rats with hippocampal formation damage induced with fimbria-fornix (FF) lesions on a spatial navigation task. Previous studies have shown that control rats use a mapping strategy, in which they use the relative positions of environmental cues to reach places in space, whereas FF rats use a cue-based strategy, in which they are guided by a single cue or their own body orientation. Therefore, control and FF rats were overtrained on a complex foraging task in which they left a burrow to retrieve eight food pellets hidden around the perimeter of a circular table. The control rats retrieved the food pellets in order of their distance from the burrow, took direct routes to the food, and made few errors, all of which suggested they used a spatial strategy. The FF rats were less likely to retrieve food as a function of its distance, took a circular path around the perimeter of the table, and made many errors, suggesting they used a cue-based strategy. Despite taking shorter routes than the FF rats, the control rats had proportionally slower response speeds. Their slow response speeds support the hypothesis that spatial mapping takes time and that mapping time is reflected in behavior. The results are discussed in relation to their relevance to spatial mapping theory, hippocampal function, and the evolution of foraging strategies.","Slow response speeds support the hypothesis that spatial mapping takes time and that mapping time is reflected in behavior, and are discussed in relation to their relevance to spatial mapping theory, hippocampal function, and the evolution of foraging strategies."
"Higher-Order Conditioning in the Spatial Domain","https://scispace.com/paper/higher-order-conditioning-in-the-spatial-domain-u3sm8vbo50","2021","Journal Article","Frontiers in Behavioral Neuroscience","Youcef Bouchekioua
Yutaka Kosaki
Shigeru Watanabe
Aaron P. Blaisdell","10.3389/FNBEH.2021.766767","","Spatial learning and memory, the processes through which a wide range of living organisms encode, compute, and retrieve information from their environment to perform goal-directed navigation, has been systematically investigated since the early 20th century to unravel behavioral and neural mechanisms of learning and memory. Early theories about learning to navigate space considered that animals learn through trial and error and develop responses to stimuli that guide them to a goal place. According to a trial-and error learning view, organisms can learn a sequence of motor actions that lead to a goal place, a strategy referred to as response learning, which contrasts with place learning where animals learn locations with respect to an allocentric framework. Place learning has been proposed to produce a mental representation of the environment and the cartesian relations between stimuli within it—which Tolman coined the cognitive map. We propose to revisit some of the best empirical evidence of spatial inference in animals, and then discuss recent attempts to account for spatial inferences within an associative framework as opposed to the traditional cognitive map framework. We will first show how higher-order conditioning can successfully account for inferential goal-directed navigation in a variety of situations and then how vectors derived from path integration can be integrated via higher-order conditioning, resulting in the generation of higher-order vectors that explain novel route taking. Finally, implications to cognitive map theories will be discussed.","In this paper, higher-order conditioning can successfully account for inferential goal-directed navigation in a variety of situations and then how vectors derived from path integration can be integrated via higher order conditioning, resulting in the generation of higher order vectors that explain novel route taking."
"Learning Structures: Predictive Representations, Replay, and Generalization","https://scispace.com/paper/learning-structures-predictive-representations-replay-and-4oy1hd7gsh","2020","Journal Article","Current opinion in behavioral sciences","Ida Momennejad","10.1016/J.COBEHA.2020.02.017","","Memory and planning rely on learning the structure of relationships among experiences. Compact representations of these structures guide flexible behavior in humans and animals. A century after ‘latent learning’ experiments summarized by Tolman, the larger puzzle of cognitive maps remains elusive: how does the brain learn and generalize relational structures? This review focuses on a reinforcement learning (RL) approach to learning compact representations of the structure of states. We review evidence showing that capturing structures as predictive representations updated via replay offers a neurally plausible account of human behavior and the neural representations of predictive cognitive maps. We highlight multi-scale successor representations, prioritized replay, and policy-dependence. These advances call for new directions in studying the entanglement of learning and memory with prediction and planning.","Evidence showing that capturing structures as predictive representations updated via replay offers a neurally plausible account of human behavior and the neural representations of predictive cognitive maps is reviewed."
