"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Reconsidering the evolution of brain, cognition, and behavior in birds and mammals","https://scispace.com/paper/reconsidering-the-evolution-of-brain-cognition-and-behavior-286npmjf7i","2013","Journal Article","Frontiers in Psychology","Romain Willemet","10.3389/FPSYG.2013.00396","","Despite decades of research, some of the most basic issues concerning the extraordinarily complex brains and behaviour of birds and mammals, such as the factors responsible for the diversity of brain size and composition, are still unclear. This is partly due to a number of conceptual and methodological issues. Determining species and group differences in brain composition requires accounting for the presence of taxon-cerebrotypes and the use of precise statistical methods. The role of allometry in determining brain variables should be revised. In particular, bird and mammalian brains appear to have evolved in response to a variety of selective pressures influencing both brain size and composition. “Brain” and “cognition” are indeed meta-variables, made up of the variables that are ecologically relevant and evolutionarily selected. External indicators of species differences in cognition and behaviour are limited by the complexity of these differences. Indeed, behavioural differences between species and individuals are caused by cognitive and affective components. Although intra- species variability forms the basis of species evolution, some of the mechanisms underlying individual differences in brain and behaviour appear to differ from those between species. While many issues have persisted over the years because of a lack of appropriate data or methods to test them; several fallacies, particularly those related to the human brain, reflect scientists’ preconceptions. The theoretical framework on the evolution of brain, cognition and behaviour in birds and mammals should be reconsidered with these biases in mind.","The theoretical framework on the evolution of brain, cognition, and behavior in birds and mammals should be reconsidered with scientists' preconceptions in mind."
"Age Matters.","https://scispace.com/paper/age-matters-67xch9y2t8oq","","","","James E. McCutcheon
Michela Marinelli","10.1111/j.1460-9568.2009.06648.x","","The age of an experimental animal can be a critical variable, yet age matters are often overlooked within neuroscience. Many studies make use of young animals, without considering possible differences between immature and mature subjects. This is especially problematic when attempting to model traits or diseases that do not emerge until adulthood. In this commentary we discuss the reasons for this apparent bias in age of experimental animals, and illustrate the problem with a systematic review of published articles on long-term potentiation. Additionally, we review the developmental stages of a rat and discuss the difficulty of using the weight of an animal as a predictor of its age. Finally, we provide original data from our laboratory and review published data to emphasize that development is an ongoing process that does not end with puberty. Developmental changes can be quantitative in nature, involving gradual changes, rapid switches, or inverted U-shaped curves. Changes can also be qualitative. Thus, phenomena that appear to be unitary may be governed by different mechanisms at different ages. We conclude that selection of the age of the animals may be critically important in the design and interpretation of neurobiological studies.",""
"Sensitive Periods in the Development of the Brain and Behavior","https://scispace.com/paper/sensitive-periods-in-the-development-of-the-brain-and-1271wlakr9","2004","Journal Article","Journal of Cognitive Neuroscience","Eric I. Knudsen","10.1162/0898929042304796","","Experience exerts a profound influence on the brain and, therefore, on behavior. When the effect of experience on the brain is particularly strong during a limited period in development, this period is referred to as a sensitive period. Such periods allow experience to instruct neural circuits to process or represent information in a way that is adaptive for the individual. When experience provides information that is essential for normal development and alters performance permanently, such sensitive periods are referred to as critical periods. Although sensitive periods are reflected in behavior, they are actually a property of neural circuits. Mechanisms of plasticity at the circuit level are discussed that have been shown to operate during sensitive periods. A hypothesis is proposed that experience during a sensitive period modifies the architecture of a circuit in fundamental ways, causing certain patterns of connectivity to become highly stable and, therefore, energetically preferred. Plasticity that occurs beyond the end of a sensitive period, which is substantial in many circuits, alters connectivity patterns within the architectural constraints established during the sensitive period. Preferences in a circuit that result from experience during sensitive periods are illustrated graphically as changes in a ''stability landscape,'' a metaphor that represents the relative contributions of genetic and experiential influences in shaping the information processing capabilities of a neural circuit. By understanding sensitive periods at the circuit level, as well as understanding the relationship between circuit properties and behavior, we gain a deeper insight into the critical role that experience plays in shaping the development of the brain and behavior.","A hypothesis is proposed that experience during a sensitive period modifies the architecture of a circuit in fundamental ways, causing certain patterns of connectivity to become highly stable and, therefore, energetically preferred."
"Divergent Solutions to Visual Problem Solving across Mammalian Species.","https://scispace.com/paper/divergent-solutions-to-visual-problem-solving-across-e2rb66qjmf","2018","Journal Article","","Faiz Mustafar
Michael A. Harvey
Abbas Khani
Jozsef Arato
Gregor Rainer","10.1523/ENEURO.0167-18.2018","","Our understanding of the neurobiological underpinnings of learning and behavior relies on the use of invasive techniques, which necessitate the use of animal models. However, when different species learn the same task, to what degree are they actually producing the same behavior and engaging homologous neural circuitry? This question has received virtually no recent attention, even as the most powerful new methodologies for measuring and perturbing the nervous system have become increasingly dependent on the use of murine species. Here, we test humans, rats, monkeys, and an evolutionarily intermediate species, tree shrews, on a three alternative, forced choice, visual contrast discrimination task. As anticipated, learning rate, peak performance, and transfer across contrasts was lower in the rat compared to the other species. More interestingly, rats exhibited two major behavioral peculiarities: while monkeys and tree shrews based their choices largely on visual information, rats tended to base their choices on past reward history. Furthermore, as the task became more difficult, rats largely disengaged from the visual stimulus, reverting to innate spatial predispositions in order to collect rewards near chance probability. Our findings highlight the limitation of muridae as models for translational research, at least in the area of visually based decision making.","Rats exhibited two major behavioral peculiarities: while monkeys and tree shrews based their choices largely on visual information, rats tended to base their choices on past reward history, and as the task became more difficult, rats largely disengaged from the visual stimulus, reverting to innate spatial predispositions in order to collect rewards near chance probability."
"The Unique Advantage of Adolescents in Probabilistic Reversal: Reinforcement Learning and Bayesian Inference Provide Adequate and Complementary Models","https://scispace.com/paper/the-unique-advantage-of-adolescents-in-probabilistic-4hgugbdxmp","2021","Posted Content","bioRxiv","Maria K. Eckstein
Sarah L. Master
Ronald E. Dahl
Linda Wilbrecht
Age Collins","10.1101/2020.07.04.187971","","During adolescence, youth venture out, explore the wider world, and are challenged to learn how to navigate novel and uncertain environments. We investigated whether adolescents are uniquely adapted to this transition, compared to younger children and adults. In a stochastic, volatile reversal learning task with a sample of 291 participants aged 8-30, we found that adolescents 13-15 years old outperformed both younger and older participants. We developed two independent cognitive models, one based on Reinforcement learning (RL) and the other Bayesian inference (BI), and used hierarchical Bayesian model fitting to assess developmental changes in underlying cognitive mechanisms. Choice parameters in both models improved monotonously. By contrast, RL update parameters and BI mental-model parameters peaked closest to optimal values in 13-to-15-year-olds. Combining both models using principal component analysis yielded new insights, revealing that three readily-interpretable components contributed to the early-to mid-adolescent performance peak. This research highlights early-to mid-adolescence as a neurodevelopmental window that may be more optimal for behavioral adjustment in volatile and uncertain environments. It also shows how increasingly detailed insights can be gleaned by invoking different cognitive models.","This article found that adolescents 13-15 years old outperformed both younger and older participants in a stochastic, volatile reversal learning task with a sample of 291 participants aged 8-30."
"Early life experiences selectively mature learning and memory abilities","https://scispace.com/paper/early-life-experiences-selectively-mature-learning-and-3rpb2mqs4q","2020","Journal Article","Nature Communications","Benjamin Bessières
Alessio Travaglia
Todd M. Mowery
Xinying Zhang
Cristina M. Alberini","10.1038/S41467-020-14461-3","","The mechanisms underlying the maturation of learning and memory abilities are poorly understood. Here we show that episodic learning produces unique biological changes in the hippocampus of infant rats and mice compared to juveniles and adults. These changes include persistent neuronal activation, BDNF-dependent increase in the excitatory synapse markers synaptophysin and PSD-95, and significant maturation of AMPA receptor synaptic responses. Inhibition of PSD-95 induction following learning impairs both AMPA receptor response maturation and infantile memory, indicating that the synapse formation/maturation is necessary for creating infantile memories. Conversely, capturing the learning-induced changes by presenting a subsequent learning experience or by chemogenetic activation of the neural ensembles tagged by learning matures memory functional competence. This memory competence is selective for the type of experience encountered, as it transfers within similar hippocampus-dependent learning domains but not to other hippocampus-dependent types of learning. Thus, experiences in early life produce selective maturation of memory abilities.","Episodic learning produces persistent neuronal activation, BDNF-dependent increase in excitatory synapse markers (synaptophysin and PSD-95), and significant maturation of AMPA receptor synaptic responses in the hippocampus of infant rats and mice compared to juveniles and adults."
"Critical Learning Periods Emerge Even in Deep Linear Networks","https://scispace.com/paper/critical-learning-periods-emerge-even-in-deep-linear-23jvi2qeti","2023","Journal Article","arXiv.org","Michael Kleinman
Alessandro Achille
S. Soatto","10.48550/arxiv.2308.12221","","Critical learning periods are periods early in development where temporary sensory deficits can have a permanent effect on behavior and learned representations. Despite the radical differences between biological and artificial networks, critical learning periods have been empirically observed in both systems. This suggests that critical periods may be fundamental to learning and not an accident of biology. Yet, why exactly critical periods emerge in deep networks is still an open question, and in particular it is unclear whether the critical periods observed in both systems depend on particular architectural or optimization details. To isolate the key underlying factors, we focus on deep linear network models, and show that, surprisingly, such networks also display much of the behavior seen in biology and artificial networks, while being amenable to analytical treatment. We show that critical periods depend on the depth of the model and structure of the data distribution. We also show analytically and in simulations that the learning of features is tied to competition between sources. Finally, we extend our analysis to multi-task learning to show that pre-training on certain tasks can damage the transfer performance on new tasks, and show how this depends on the relationship between tasks and the duration of the pre-training stage. To the best of our knowledge, our work provides the first analytically tractable model that sheds light into why critical learning periods emerge in biological and artificial networks. ","This work provides the first analytically tractable model that sheds light into why critical learning periods emerge in biological and artificial networks."
"The best time to acquire new skills: Age-related differences in implicit sequence learning across the human lifespan","https://scispace.com/paper/the-best-time-to-acquire-new-skills-age-related-differences-10ml0mljt2","2012","Journal Article","Developmental Science","Karolina Janacsek
József Fiser
Dezso Nemeth","10.1111/J.1467-7687.2012.01150.X","","Implicit skill learning underlies obtaining not only motor, but also cognitive and social skills through the life of an individual. Yet, the ontogenetic changes in humans’ implicit learning abilities have not yet been characterized, and, thus, their role in acquiring new knowledge efficiently during development is unknown. We investigated such learning across the life span, between 4–85 years of age with an implicit probabilistic sequence learning task, and we found that the difference in implicitly learning high vs. low probability events - measured by raw reaction time (RT) - exhibited a rapid decrement around age of 12. Accuracy and z-transformed data showed partially different developmental curves suggesting a re-evaluation of analysis methods in developmental research. The decrement in raw RT differences supports an extension of the traditional 2-stage lifespan skill acquisition model: in addition to a decline above the age 60 reported in earlier studies, sensitivity to raw probabilities and, therefore, acquiring new skills is significantly more effective until early adolescence than later in life. These results suggest that due to developmental changes in early adolescence, implicit skill learning processes undergo a marked shift in weighting raw probabilities vs. more complex interpretations of events, which, with appropriate timing, prove to be an optimal strategy for human skill learning.","The results suggest that due to developmental changes in early adolescence, implicit skill learning processes undergo a marked shift in weighting raw probabilities vs. more complex interpretations of events, which, with appropriate timing, prove to be an optimal strategy for human skill learning."
"From sudden perceptual learning to enduring engrams: A representational perspective","https://scispace.com/paper/from-sudden-perceptual-learning-to-enduring-engrams-a-d3kpl2jpy06m","2025","Journal Article","","Johannah Völler
Juan Linde‐Domingo
Javier Ortiz-Tudela
Carlos González‐García","10.31234/osf.io/39npk_v1","","Sudden perceptual learning refers to the abrupt disambiguation of an initially ambiguous stimulus. Despite the limited encoding time, these brief perceptual experiences transform into enduring memory engrams. Still, a comprehensive framework of why these memories are so long-lasting and their neural underpinnings, in particular the role of the hippocampus, is currently lacking. Here, we build on the apparent connection of sudden perceptual learning with long-term memory to outline how a representational perspective may help to overcome current limitations, similar to other areas of memory research. In short, we claim that sudden perceptual learning triggers initial prediction errors across the hierarchy, including strong higher-level (semantic) ones. Once a solution is found, the formerly ambiguous image can be connected to previous schemas and a disambiguation cascade of prediction error minimization is triggered, starting with semantic prediction errors. As a consequence, these events lead to low-dimensional representations that show signs of early semanticization, thereby favouring semantics over perceptual details. In sum, we propose that multiple memory traces are simultaneously encoded during sudden perceptual learning, and while low-dimensional representations engage neocortical structures, high-dimensional, episodic representations require the hippocampus. This perspective offers a promising framework to advance research on sudden perceptual learning and related phenomena. ","Researchers propose a representational perspective to explain sudden perceptual learning's transformation into enduring memory engrams, suggesting initial prediction errors trigger a disambiguation cascade, engaging neocortical and hippocampal structures for low-dimensional and high-dimensional representations, respectively."
"Human and chimpanzee shared and divergent neurobiological systems for general and specific cognitive brain functions.","https://scispace.com/paper/human-and-chimpanzee-shared-and-divergent-neurobiological-3on7d367","2023","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Martijn P. van den Heuvel
Dirk Jan Ardesch
Lianne H. Scholtens
Siemon C. de Lange
Neeltje E.M. van Haren
Iris E. C. Sommer
Udo Dannlowski
Jonathan Repple
Todd M. Preuss
Will G. Hopkins
James K. Rilling","10.1073/pnas.2218565120","","A long-standing topic of interest in human neurosciences is the understanding of the neurobiology underlying human cognition. Less commonly considered is to what extent such systems may be shared with other species. We examined individual variation in brain connectivity in the context of cognitive abilities in chimpanzees (n = 45) and humans in search of a conserved link between cognition and brain connectivity across the two species. Cognitive scores were assessed on a variety of behavioral tasks using chimpanzee- and human-specific cognitive test batteries, measuring aspects of cognition related to relational reasoning, processing speed, and problem solving in both species. We show that chimpanzees scoring higher on such cognitive skills display relatively strong connectivity among brain networks also associated with comparable cognitive abilities in the human group. We also identified divergence in brain networks that serve specialized functions across humans and chimpanzees, such as stronger language connectivity in humans and relatively more prominent connectivity between regions related to spatial working memory in chimpanzees. Our findings suggest that core neural systems of cognition may have evolved before the divergence of chimpanzees and humans, along with potential differential investments in other brain networks relating to specific functional specializations between the two species.","This article examined individual variation in brain connectivity in the context of cognitive abilities in chimpanzees (n = 45) and humans in search of a conserved link between cognition and brain connectivity across the two species."
"Nearest neighbours reveal fast and slow components of motor learning","https://scispace.com/paper/nearest-neighbours-reveal-fast-and-slow-components-of-motor-1ke37jtoxa","2020","Journal Article","Nature","Sepp Kollmorgen
Richard H. R. Hahnloser
Valerio Mante","10.1038/S41586-019-1892-X","","Changes in behaviour resulting from environmental influences, development and learning1–5 are commonly quantified on the basis of a few hand-picked features2–4,6,7 (for example, the average pitch of acoustic vocalizations3), assuming discrete classes of behaviours (such as distinct vocal syllables)2,3,8–10. However, such methods generalize poorly across different behaviours and model systems and may miss important components of change. Here we present a more-general account of behavioural change that is based on nearest-neighbour statistics11–13, and apply it to song development in a songbird, the zebra finch3. First, we introduce the concept of ‘repertoire dating’, whereby each rendition of a behaviour (for example, each vocalization) is assigned a repertoire time, reflecting when similar renditions were typical in the behavioural repertoire. Repertoire time isolates the components of vocal variability that are congruent with long-term changes due to vocal learning and development, and stratifies the behavioural repertoire into ‘regressions’, ‘anticipations’ and ‘typical renditions’. Second, we obtain a holistic, yet low-dimensional, description of vocal change in terms of a stratified ‘behavioural trajectory’, revealing numerous previously unrecognized components of behavioural change on fast and slow timescales, as well as distinct patterns of overnight consolidation1,2,4,14,15 across the behavioral repertoire. We find that diurnal changes in regressions undergo only weak consolidation, whereas anticipations and typical renditions consolidate fully. Because of its generality, our nonparametric description of how behaviour evolves relative to itself—rather than to a potentially arbitrary, experimenter-defined goal2,3,14,16—appears well suited for comparing learning and change across behaviours and species17,18, as well as biological and artificial systems5. A new method for analysing change in high-dimensional data is based on nearest-neighbour statistics and is applied here to song dynamics during vocal learning in zebra finches, but could potentially be applied to other biological and artificial behaviours.","A holistic, yet low-dimensional, description of vocal change in terms of a stratified ‘behavioural trajectory’ is obtained, revealing numerous previously unrecognized components of behavioural change on fast and slow timescales, as well as distinct patterns of overnight consolidation across the behavioral repertoire."
"Continuous developmental change explains discontinuities in word learning.","https://scispace.com/paper/continuous-developmental-change-explains-discontinuities-in-3ctz2zt7fc","2021","Journal Article","Developmental Science","Abdellah Fourtassi
Sophie Regan
Michael C. Frank","10.1111/DESC.13018","","Cognitive development is often characterized in terms of discontinuities, but these discontinuities can sometimes be apparent rather than actual and can arise from continuous developmental change. To explore this idea, we use as a case study the finding by Stager and Werker (1997) that children's early ability to distinguish similar sounds does not automatically translate into word learning skills. Early explanations proposed that children may not be able to encode subtle phonetic contrasts when learning novel word meanings, thus suggesting a discontinuous/stage-like pattern of development. However, later work has revealed (e.g., through using more precise testing methods) that children do encode such contrasts, thus favoring a continuous pattern of development. Here, we propose a probabilistic model that represents word knowledge in a graded fashion and characterizes developmental change as improvement in the precision of this graded knowledge. Our model explained previous findings in the literature and provided a new prediction - the referents' visual similarity modulates word learning accuracy. The models' predictions were corroborated by human data collected from both preschool children and adults. The broader impact of this work is to show that computational models, such as ours, can help us explore the extent to which episodes of cognitive development that are typically thought of as discontinuities may emerge from simpler, continuous mechanisms.","A probabilistic model is proposed that represents word knowledge in a graded fashion and characterizes developmental change as improvement in the precision of this graded knowledge and provided a new prediction - the referents' visual similarity modulates word learning accuracy."
