"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Practice and Song Development in Zebra Finches","https://scispace.com/paper/practice-and-song-development-in-zebra-finches-4jpso5yc2g","1998","Journal Article","Behaviour","Slaterl
Jones","10.1163/156853998792913528","","Male zebra finches reared by both parents were placed in isolation from day 35 to day 70 of life, the sensitive phase for song learning, and exposed to a singing adult male thereafter. Half the birds were stimulated to practice by a tape of birdroom noise during their period in isolation, and the practice of all birds was monitored. Those that were stimulated did practice more during the period when the tape was on, but the overall amount of practice in both groups was very high, rising to occur in 60-80% of all 10 min monitoring sessions after 50 days of age. Individual differences were considerable. In the unstimulated group, there was some suggestion that birds which practised more had achieved greater song stereotypy on one measure by day 70. However, the hypothesis that birds which practised more would be more likely to develop copies of their fathers' songs was not supported. Instead, the final song of birds in both groups was clearly based on that of the tutor introduced at 70 days. While the results point to a great deal of practice by young zebra finches, they do not suggest that greater practice leads to earlier crystallisation of song or increases the likelihood of copying songs heard earlier.","While the results point to a great deal of practice by young zebra finches, they do not suggest that greater practice leads to earlier crystallisation of song or increases the likelihood of copying songs heard earlier."
"“Bird Song Metronomics”: Isochronous Organization of Zebra Finch Song Rhythm","https://scispace.com/paper/bird-song-metronomics-isochronous-organization-of-zebra-3oyn6u7m6r","2016","Journal Article","Frontiers in Neuroscience","Philipp Norton
Constance Scharff","10.3389/FNINS.2016.00309","","The human capacity for speech and vocal music depends on vocal imitation. Songbirds, in contrast to non-human primates, share this vocal production learning with humans. The process through which birds and humans learn many of their vocalizations as well as the underlying neural system exhibit a number of striking parallels and have been widely researched. In contrast, rhythm, a key feature of language, and music, has received surprisingly little attention in songbirds. Investigating temporal periodicity in bird song has the potential to inform the relationship between neural mechanisms and behavioral output and can also provide insight into the biology and evolution of musicality. Here we present a method to analyze birdsong for an underlying rhythmic regularity. Using the intervals from one note onset to the next as input, we found for each bird an isochronous sequence of time stamps, a ""signal-derived pulse,"" or pulse(S), of which a subset aligned with all note onsets of the bird's song. Fourier analysis corroborated these results. To determine whether this finding was just a byproduct of the duration of notes and intervals typical for zebra finches but not dependent on the individual duration of elements and the sequence in which they are sung, we compared natural songs to models of artificial songs. Note onsets of natural song deviated from the pulse(S) significantly less than those of artificial songs with randomized note and gap durations. Thus, male zebra finch song has the regularity required for a listener to extract a perceived pulse (pulse(P)), as yet untested. Strikingly, in our study, pulses(S) that best fit note onsets often also coincided with the transitions between sub-note elements within complex notes, corresponding to neuromuscular gestures. Gesture durations often equaled one or more pulse(S) periods. This suggests that gesture duration constitutes the basic element of the temporal hierarchy of zebra finch song rhythm, an interesting parallel to the hierarchically structured components of regular rhythms in human music.","A method to analyze birdsong for an underlying rhythmic regularity suggests that gesture duration constitutes the basic element of the temporal hierarchy of zebra finch song rhythm, an interesting parallel to the hierarchically structured components of regular rhythms in human music."
"Quantitative assessment of vocal development in the zebra finch using self-organizing neural networks.","https://scispace.com/paper/quantitative-assessment-of-vocal-development-in-the-zebra-3ojpa8lphc","2001","Journal Article","Journal of the Acoustical Society of America","Petr Janata","10.1121/1.1412446","","To understand the mechanisms of song learning by songbirds it is necessary to have in hand tools for extracting, describing, and quantifying features of the developing vocalizations. The extremely large number of vocalizations produced by juvenile zebra finches and the variability in these vocalizations during the sensorimotor learning period preclude manual scoring methods. Here we describe an approach for classification of vocalizations produced during sensorimotor learning based on self-organizing neural networks. This approach allowed us to construct probability distributions of spectrotemporal features recorded on each day. By training the network with samples obtained across the course of vocal development in individual birds, we observed developmental trajectories of these features. The emergence of stereotypy in sequences of song elements was captured by computing the entropy in the matrices of first- and second-order transition probabilities. Self-organizing maps may assist in classifying large libraries of zebra finch vocalizations and shedding light on mechanisms of vocal development.","Self-organizing maps may assist in classifying large libraries of zebra finch vocalizations and shedding light on mechanisms of vocal development."
"Familial bias and auditory feedback regulation of vocal babbling patterns during early song development","https://scispace.com/paper/familial-bias-and-auditory-feedback-regulation-of-vocal-1i8nvjmxnv","2016","Journal Article","Scientific Reports","Daisuke Sato
Chihiro Mori
Azusa Sawai
Kazuhiro Wada","10.1038/SREP30323","","Learned vocalizations are a crucial acoustic biosignal conveying individual traits in many species. Songbirds learn song patterns by listening to a tutor song and performing vocal practice during a sensitive developmental period. However, when and how individual differences in song patterns develop remain unknown. Here, we report that individual differences in vocal output exist even at the earliest song development stage, called subsong. Experiments involving the manipulation of both breeding pairs and song tutoring conditions revealed that the parental pair combination contributes to generating familial differences in syllable duration and variability in the subsong of offspring. Furthermore, after deafening, juveniles immediately changed their subsong by shortening the syllable durations but maintained the individual variability of their subsong temporal patterns, suggesting both auditory-sensitive modification and independent intrinsic regulation of vocal output. These results indicate that the temporal patterns of subsong are not merely disordered vocalization but are regulated by familial bias with sensitivity to auditory feedback, thus generating individual variability at the initiation of vocal development.","It is reported that individual differences in vocal output exist even at the earliest song development stage, called subsong, and that the temporal patterns of subsong are regulated by familial bias with sensitivity to auditory feedback, thus generating individual variability at the initiation of vocal development."
"Timing of perineuronal net development in the zebra finch song control system correlates with developmental song learning","https://scispace.com/paper/timing-of-perineuronal-net-development-in-the-zebra-finch-13abu1wg8p","2018","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Gilles Cornez
Elisabeth Jonckers
Sita M. ter Haar
Annemie Van der Linden
Charlotte Cornil
Jacques Balthazart","10.1098/RSPB.2018.0849","","The appearance of perineuronal nets (PNNs) represents one of the mechanisms that contribute to the closing of sensitive periods for neural plasticity. This relationship has mostly been studied in the ocular dominance model in rodents. Previous studies also indicated that PNN might control neural plasticity in the song control system of songbirds. To further elucidate this relationship, we quantified PNN expression and their localization around parvalbumin interneurons at key time-points during ontogeny in both male and female zebra finches, and correlated these data with the well-described development of song in this species. We also extended these analyses to the auditory system. The development of PNN during ontogeny correlated with song crystallization although the timing of PNN appearance in the four main telencephalic song control nuclei slightly varied between nuclei in agreement with the established role these nuclei play during song learning. Our data also indicate that very few PNN develop in the secondary auditory forebrain areas even in adult birds, which may allow constant adaptation to a changing acoustic environment by allowing synaptic reorganization during adulthood.","In this paper, the authors quantified PNN expression and their localization around parvalbumin interneurons at key time-points during ontogeny in both male and female zebra finches and correlated these data with the well described development of song in this species."
"Long-term effects of prenatal sound experience on songbird behavior and their relation to song learning","https://scispace.com/paper/long-term-effects-of-prenatal-sound-experience-on-songbird-4a1k3phd7f","2021","Journal Article","Behavioral Ecology and Sociobiology","Andrew C. Katsis
Andrew C. Katsis
Katherine L. Buchanan
Sonia Kleindorfer
Sonia Kleindorfer
Mylene M. Mariette","10.1007/S00265-020-02939-5","","Across multiple taxa, prenatal exposure to rhythmic sound can promote neural development and alter postnatal behavior. In recent studies using zebra finches, stimulating embryos with parental “heat calls” affected their begging behavior as nestlings and song learning as adults. This song learning effect is potentially mediated by broader changes to offspring behavior that affect how they interact with potential song tutors; however, the long-term behavioral effects of prenatal sound are still poorly understood. In this study, therefore, we used captive wild-derived zebra finches to experimentally test (1) whether prenatal sound experience affected long-term behavioral traits and (2) whether these traits were correlated with song learning outcomes. Offspring that had experienced heat calls (treatment) or contact calls (control) in the egg were raised after hatching in a colony environment. We then used four assays to quantify different aspects of their adult behavior, including food neophobia, detour reaching, and exploration in a novel environment. Treatment offspring were less food neophobic (quicker to eat a novel food item), adding to increasing evidence that prenatal sound can affect long-term behavior. However, levels of food neophobia did not, in turn, predict song learning. Differences in offspring song learning may instead be explained by exploration behavior, as fast-exploring males produced more syllables from non-paternal tutors. While our findings do not support the hypothesis that behavior mediates the effects of prenatal sound on song learning, they nevertheless bring us closer to understanding the behavioral mechanisms through which prenatal sound might affect postnatal outcomes. Sounds experienced inside the egg can influence an individual’s behavior after hatching. In the zebra finch, exposing embryos to a parental “heat call” altered their song learning later in life, but the mechanism driving this effect is unknown. In this study, we tested whether prenatal playback of heat calls affected a suite of adult behavioral traits and whether any of these traits were associated with song learning. Exposure to heat calls produced adult zebra finches that were less neophobic towards a novel food item, but this trait was not itself correlated with song learning. Overall, these findings highlight the importance of the prenatal sound environment for shaping future offspring behavior, which may in turn have unappreciated fitness consequences.","In this paper, the authors used wild-derived zebra finches to experimentally test whether prenatal sound experience affected long-term behavioral traits and whether these traits were correlated with song learning outcomes."
"Variations in zebra finch song copying: An examination of the relationship with tutor song quality and pupil behaviour","https://scispace.com/paper/variations-in-zebra-finch-song-copying-an-examination-of-the-2z7loo1ldv","2000","Journal Article","Behaviour","Bart B. Houx
Carel ten Cate
Enja Feuth","10.1163/156853900501980","","Summary In this study we explore whether individual differences in zebra e nch ( Taeniopygia guttata ) song copying covary with differences in tutor song characteristics and pupil behaviour. To this end, we combined data from two earlier studies, in which forty young males were tapetutored. We found no clear evidence that the eight different tutor songs, each of which was used to tutor e ve pupils, varied in degree in which they were copied by the pupils. Degree of song copying was not related to the characteristics of the tutor songs’ phrase structure or elements, although the most frequent elements were copied most. However, we did e nd a relationship between song copying and the pupil’s response to the tutor song: the pupils that approached the tutor song most frequently, and that were more silent after playback, also were the best copiers. These results e t the emerging notion that song learning in zebra e nches may be a process in which many different aspects contribute to the eventual result.","This article found no clear evidence that the eight different tutor songs, each of which was used to tutor the pupils, varied in degree in which they were copied by the pupils and that the degree of song copying was not related to the characteristics of the tutor songs' phrase structure or elements."
"Vocal imitation in zebra finches is inversely related to model abundance","https://scispace.com/paper/vocal-imitation-in-zebra-finches-is-inversely-related-to-27gvp360xu","1999","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Ofer Tchernichovski
Thierry Lints
Partha P. Mitra
Fernando Nottebohm","10.1073/PNAS.96.22.12901","","A juvenile male zebra finch, Taeniopygia guttata, kept singly with its father develops a fairly complete imitation of the father’s song. The imitation is less complete when other male siblings are present, possibly because as imitation commences, model abundance increases. Here we examine the consequences of allowing more or less access to a song model. Young males heard a brief song playback when they pecked at a key, but different males were allowed to hear different numbers of playbacks per day. Using an automated procedure that scored the similarity between model and pupil songs, we discovered that 40 playbacks of the song motif per day, lasting a total of 30 sec, resulted in a fairly complete imitation. More exposure led to less complete imitation. Vocal imitation often may reflect the interaction of diverse influences. Among these, we should now include the possible inhibitory effect of model overabundance, which may foster individual identity and explain the vocal diversity found in zebra finches and other songbirds.","The possible inhibitory effect of model overabundance is included, which may foster individual identity and explain the vocal diversity found in zebra finches and other songbirds."
"Goal-directed vocal planning in a songbird","https://scispace.com/paper/goal-directed-vocal-planning-in-a-songbird-37y4qur4j1","2024","Journal Article","eLife","Anja T. Zai
Anna E. Stepien
Nicolas Giret
Richard H. R. Hahnloser","10.7554/elife.90445.4","","Songbirds’ vocal mastery is impressive, but to what extent is it a result of practice? Can they, based on experienced mismatch with a known target, plan the necessary changes to recover the target in a practice-free manner without intermittently singing? In adult zebra finches, we drive the pitch of a song syllable away from its stable (baseline) variant acquired from a tutor, then we withdraw reinforcement and subsequently deprive them of singing experience by muting or deafening. In this deprived state, birds do not recover their baseline song. However, they revert their songs toward the target by about 1 standard deviation of their recent practice, provided the sensory feedback during the latter signaled a pitch mismatch with the target. Thus, targeted vocal plasticity does not require immediate sensory experience, showing that zebra finches are capable of goal-directed vocal planning. ","Adult zebra finches can plan and adjust their song pitch towards a target without practice, using sensory feedback to guide changes, demonstrating goal-directed vocal planning and targeted vocal plasticity in songbirds."
"In vivo assessment of the neural substrate linked with vocal imitation accuracy.","https://scispace.com/paper/in-vivo-assessment-of-the-neural-substrate-linked-with-vocal-1r5mz5jai0","2020","Journal Article","eLife","Julie Hamaide
Kristina Lukacova
Jasmien Orije
Georgios A. Keliris
Marleen Verhoye
Annemie Van der Linden","10.7554/ELIFE.49941","","Human speech and bird song are acoustically complex communication signals that are learned by imitation during a sensitive period early in life. Although the brain areas indispensable for speech and song learning are known, the neural circuits important for enhanced or reduced vocal performance remain unclear. By combining in vivo structural Magnetic Resonance Imaging with song analyses in juvenile male zebra finches during song learning and beyond, we reveal that song imitation accuracy correlates with the structural architecture of four distinct brain areas, none of which pertain to the song control system. Furthermore, the structural properties of a secondary auditory area in the left hemisphere, are capable to predict future song copying accuracy, already at the earliest stages of learning, before initiating vocal practicing. These findings appoint novel brain regions important for song learning outcome and inform that ultimate performance in part depends on factors experienced before vocal practicing.","It is revealed that song imitation accuracy correlates with the structural architecture of four distinct brain areas, none of which pertain to the song control system, and that ultimate performance in part depends on factors experienced before vocal practicing."
"Are there species-universal categories in bird song phonology and syntax? A comparative study of chaffinches (Fringilla coelebs), zebra finches (Taenopygia guttata), and swamp sparrows (Melospiza georgiana).","https://scispace.com/paper/are-there-species-universal-categories-in-bird-song-kznr8qdru4","2010","Journal Article","Journal of Comparative Psychology","Robert F. Lachlan
Lennart Verhagen
Susan Peters
C. Ten Cate","10.1037/A0016996","","Previous studies of learned bird song have suggested the existence of species-universal patterns in song organization: clear clusters in produced songs that do not vary within a species. Here the authors combine a computational method of comparing songs with statistical methods of assessing cluster structure to investigate this issue in a more quantitative manner. The authors first analyze song phonology and then examine song syntax at a population level in 3 species with very different song structure: chaffinches (Fringilla coelebs), zebra finches (Taenopygia guttata), and swamp sparrows (Melospiza georgiana). The authors used a dynamic time-warping algorithm to compare song elements, which closely matched the judgments of human observers. Clustering tendency and validation statistics showed that broad phonological categories existed in all 3 species, but these categories explained no more than half of the overall phonological variation. The authors developed a novel statistic to assess syntactical structure, which indicated that element transitions were not randomly distributed. In the clearest case, in chaffinches, this could be explained by syllables being linked to certain positions within the song. These results demonstrate measures of song organization that can be applied across species, enhancing the potential of comparative studies.","Measures of song organization that can be applied across species are demonstrated, enhancing the potential of comparative studies."
"Accuracy of song syntax learning and singing consistency signal early condition in zebra finches","https://scispace.com/paper/accuracy-of-song-syntax-learning-and-singing-consistency-5jeddmvy0t","2008","Journal Article","Behavioral Ecology","Marie-Jeanne Holveck
Ana Catarina Vieira de Castro
Robert F. Lachlan
Robert F. Lachlan
Carel ten Cate
Katharina Riebel","10.1093/BEHECO/ARN078","","Birdsong is a sexually selected and culturally transmitted multidimensional signal. Sexually selected traits are generally assumed to indicate condition. In oscine songbirds, song is learned early in life. The developmental stress hypothesis proposed that poor early developmental condition can adversely affect song learning. The quality and accuracy of learned song features could thus indicate male quality to conspecifics. Surprisingly, studies testing this hypothesis to date mostly compared adult males’ song repertoires without looking at song imitation. The few that did reported inconsistent effects and analyzed a limited number of song features. Here, we examined the effects of early condition (by brood size manipulation) on learned song in zebra finches, Taeniopygia guttata, in comparing both the number of specific elements copied from an adult song tutor and a great number of previously neglected syntax-, complexity-, and performance-related song features. The treatment did not significantly affect average number of imitated elements, the standard measure of quality of song imitation in this species. However, developmental condition had 2 significant main effects on adult song: birds from large broods (i.e., of poor early condition) in comparison to birds from small broods copied syntactical dependencies of song elements from the song motif of their tutor less accurately and had less consistent sound duration between song motifs. These findings support the developmental stress hypothesis. We discuss how this sheds light on the potential role of such long-term signals of male developmental condition in female mate choice and potential constraints underlying condition-dependent expression of song features.","The effects of early condition by brood size manipulation on learned song in zebra finches, Taeniopygia guttata, support the developmental stress hypothesis and sheds light on the potential role of such long-term signals of male developmental condition in female mate choice and potential constraints underlying condition-dependent expression of song features."
