"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"Search and insight processes in card sorting games","https://scispace.com/paper/search-and-insight-processes-in-card-sorting-games-1ps9704f","2023","Journal Article","Frontiers in Psychology","Michael Öllinger
Eörs Szathmáry
Anna Fedor","10.3389/fpsyg.2023.1118976","https://scispace.com/pdf/search-and-insight-processes-in-card-sorting-games-1ps9704f.pdf","- **Relevance Score:** 6/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Paper offers a novel card‑sorting paradigm with trial‑by‑trial feedback and computational modeling of insight, but lacks rat, pigeon, reading, math, or cross‑species data.","Insight problems are particularly interesting, because problems which require restructuring allow researchers to investigate the underpinnings of the Aha-experience, creativity and out of the box thinking. There is a need for new insight tasks to probe and extend the limits of existing theories and cognitive frameworks. To shed more light on this fascinating issue, we addressed the question: Is it possible to convey a well-known card sorting game into an insight task? We introduced different conditions and tested them via two online experiments (N = 546). Between the conditions we systematically varied the available perceptual features, and the existence of non-obvious rules. We found that our card sorting game elicited insight experience. In the first experiment, our data revealed that solution strategies and insight experience varied by the availability and saliency of perceptual features. The discovery of a non-obvious rule, which is not hinted at by perceptual features, was most difficult. With our new paradigm, we were able to construe ambiguous problems which allowed participants to find more than one solution strategy. Interestingly, we realized interindividual preferences for different strategies. The same problem drove strategies which either relied on feature integration or on more deliberate strategies. The second experiment varied the degree of independence of a sorting rule from the standard rules which were in accordance with prior knowledge. It was shown that the more independent the hidden rule was, the more difficult the task became. In sum, we demonstrated a new insight task which extended the available task domains and shed light on sequential and multi-step rule learning problems. Finally, we provided a first sketch of a cognitive model that should help to integrate the data within the existing literature on cognitive models and speculated about the generalizability of the interplay of prior knowledge modification and variation for problem solving.","INDIVIDUAL_DATA: No
LONGITUDINAL_TRIAL_DATA: Yes
DATA_ACCESS: Repository
SUDDEN_TRANSITION: Yes
N_SUBJECTS: 546
N_MEASUREMENTS: Not addressed in this paper.
PRIORITY: Medium"
"A surprising link between cognitive maps, successor-relation based reinforcement learning, and BTSP","https://scispace.com/paper/a-surprising-link-between-cognitive-maps-successor-relation-wsropm19crdh","2025","Journal Article","","Yukun Yang
Christoph Stoeckl
Wolfgang Maass","10.1101/2025.04.22.650046","","- **Relevance Score:** 6/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides computational model of successor‑representation learning and human hippocampal data; lacks behavioral trials, rats/pigeons, reading or math insight measures.","Recent recordings from the hippocampus of the human brain suggest that after a few presentations of sequences of unrelated natural images, correlations between emergent neural codes encode the sequential structure of these sequences. We show that this learning process, which is consistent with experimental data on BTSP (Behavioral Time Scale Synaptic Plasticity), creates a cognitive map that enables online-generation of plans for moving to any given goal, both in spatial environments and in abstract graphs. Furthermore, the resulting neural circuits and plasticity rules provide a biologically plausible implementation of Successor Relation based Reinforcement Learning. In addition, this brain-derived approach for learning cognitive maps provides a blueprint for implementing autonomous learning through on-chip plasticity in energy-efficient neuromorphic hardware. ","INDIVIDUAL_DATA: Unclear
LONGITUDINAL_TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSITION: Unclear
N_SUBJECTS: Not available in metadata.
N_MEASUREMENTS: Not available in metadata.
PRIORITY: Not available in metadata."
"Characterizing the dynamic learning process: Implications of a quantitative analysis","https://scispace.com/paper/characterizing-the-dynamic-learning-process-implications-of-3sicgk6p4o","2024","Journal Article","Behavioural Brain Research","Meilin Wu
Fuhong Liu
Hao Wang
Li Yao
Chunling Wei
Qi Zheng
Jing Han
Zhiqiang Liu
Yihui Liu
Haijun Duan
Wei Ren
Zongpeng Sun","10.1016/j.bbr.2024.114915","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Introduces a novel change‑point analysis for trial‑by‑trial instrumental learning in mice, enabling detection of sudden performance jumps; otherwise unrelated to rats, pigeons, reading, math insight, or neural measurements.","Understanding the neural mechanisms involved in learning processes is crucial for unraveling the complexities of behavior and cognition. Sudden change from the untrained level to the fully-learned level is a pivotal feature of instrumental learning. However, the concept of change point and suitable methods to conveniently analyze the characteristics of sudden change in groups remain elusive, which might hinder a fuller understanding of the neural mechanism underlying dynamic leaning process. In the current study, we investigated the learning processes of mice that were trained in an aversive instrumental learning task, and introduced a novel strategy to analyze behavioral variations in instrumental learning, leading to improved clarity on the concept of sudden change and enabling comprehensive group analysis. By applying this novel strategy, we examined the effects of cocaine and a cannabinoid receptor agonist on instrumental learning. Intriguingly, our analysis revealed significant differences in timing and occurrence of sudden changes that were previously overlooked using traditional analysis. Overall, our research advances understanding of behavioral variation during instrumental learning and the interplay between learning behaviors and neurotransmitter systems, contributing to a deeper comprehension of learning processes and informing future investigations and therapeutic interventions. ",""
"Reading development subtypes and their early characteristics","https://scispace.com/paper/reading-development-subtypes-and-their-early-characteristics-4ffeguk7rd","2007","Journal Article","Annals of Dyslexia","Minna Torppa
Asko Tolvanen
Anna-Maija Poikkeus
Kenneth Eklund
Marja-Kristiina Lerkkanen
Esko Leskinen
Heikki Lyytinen","10.1007/S11881-007-0003-0","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses mixture modeling to identify five reading subtypes across 1,750 children; tracks early language/literacy profiles longitudinally. No trial‑by‑trial or sudden‑insight analyses; focuses on developmental trajectories rather than abrupt performance jumps.","The present findings are drawn from the Jyvaskyla Longitudinal Study of Dyslexia (JLD), in which approximately 100 children with familial risk of dyslexia and 100 control children have been followed from birth. In this paper we report data on the reading development of the JLD children and their classmates, a total of 1,750 children from four measurement points during the first two school years. In the total sample, we examined whether heterogeneous developmental paths can be identified based on profiles of word recognition and reading comprehension. Secondly, we studied what kind of early language and literacy skill profiles and reading experiences characterize the children with differing reading development in the follow-up sample. The mixture modeling procedure resulted in five subtypes: (1) poor readers, (2) slow decoders, (3) poor comprehenders, (4) average readers, and (5) good readers. The children with familial risk for dyslexia performed on average at a lower level in all reading tasks than both their classmates and the controls, and they were overrepresented in slow decoders subtype. Differences between the subtypes were found in the early language and literacy skill development, as well as in the reading experiences of the reading subtypes.",""
"An eye movement study on the mechanisms of reading fluency development","https://scispace.com/paper/an-eye-movement-study-on-the-mechanisms-of-reading-fluency-1jgqlp57tc","2024","Journal Article","Cognitive Development","Jarkko Hautala
Stefan Hawelka
Miia Ronimus","10.1016/j.cogdev.2023.101395","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses eye‑tracking to track reading fluency development over six months, providing longitudinal data on fixation durations and fixations. Shows gradual efficiency gains rather than abrupt insight jumps, with modest methodological novelty in per‑word metrics.","Little is known about how word recognition processes, such as decoding, change when reading fluency improves during the school year. Such knowledge may have practical importance by determining which aspects of reading are most malleable at a certain age and reading level. The development of word-recognition subprocesses of third- and fourth-grade Finnish students (n = 81) with variable reading fluency was explored from longitudinal (6-month) text reading eye-tracking data. Generic development of the word recognition system was assessed from longitudinal changes in first fixation, average refixation durations and the number of first-pass fixations. The development of orthographic word representations and decoding was studied by examining the longitudinal changes in word frequency and word length effects, respectively. According to the results, the gain in reading fluency was mainly associated with decreases in first fixation and refixation durations. These decreases, in turn, inhibited the reduction in the number of fixations. However, students who could overcome this inhibitory effect, that is, by reading both with shorter fixation durations and with fewer fixations, developed most in reading fluency. The results seem to indicate that reading fluency development is driven by increased efficiency in representing letter strings in working memory. Over time, this development may lead to fewer fixations made into a word and, thus, more letters processed during each fixation. ",""
"The Underlying Components of Growth in Decoding and Reading Comprehension: Findings from a 5-Year Longitudinal Study of German-Speaking Children","https://scispace.com/paper/the-underlying-components-of-growth-in-decoding-and-reading-1lkpseeo","2023","Journal Article","Scientific Studies of Reading","Jan-Henning Ehm
Alexandra Schmitterer
Telse Nagler
Arne Lervåg","10.1080/10888438.2022.2164199","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses longitudinal latent growth models to track reading precursors over five years; captures developmental trends but lacks trial‑by‑trial insight or sudden‑jump analyses.","ABSTRACT Purpose The transition to school and the first years of elementary school education are very sensitive phases for reading development. Reading researchers have established key precursors and developmental steps in these phases. However, how these components interact and affect growth is not well understood yet. The current study from Germany replicates established findings and explores how curvilinear effects can add information to our understanding of reading development. Method 525 German-speaking children were followed during a 5-year period from kindergarten to fourth Grade. Phonological awareness (PA), letter knowledge (LK), rapid naming (RAN) and language skills (LS) were assessed in kindergarten, decoding and reading comprehension in elementary school. Analysis was based on latent growth models with curvilinear (quadratic) effects. Results The results indicate that PA and LK are of importance for early reading, RAN was additionally revealed to be of importance for further growth in decoding. Language skills and decoding, together with their interaction, explain variation in reading comprehension skills. A curvilinear effect was found for decoding on reading comprehension growth only. Conclusion Our study shows which precursors predict growth in reading development in a transparent orthography and expands our understanding of how language and decoding affect the development of reading comprehension.",""
"On known unknowns: Fluency and the neural mechanisms of illusory truth","https://scispace.com/paper/on-known-unknowns-fluency-and-the-neural-mechanisms-of-vikpkti16b","2016","Journal Article","Journal of Cognitive Neuroscience","Wei-Chun Wang
Nadia M. Brashier
Erik A. Wing
Elizabeth J. Marsh
Roberto Cabeza","10.1162/JOCN_A_00923","https://pmc.ncbi.nlm.nih.gov/articles/PMC4816661/pdf/nihms764972.pdf","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses fMRI to link perirhinal cortex activity with fluency‑driven illusory truth, providing neural evidence for a sudden‑feeling mechanism, but lacks animal, reading, math, or trial‑by‑trial learning analyses.","The ""illusory truth"" effect refers to the phenomenon whereby repetition of a statement increases its likelihood of being judged true. This phenomenon has important implications for how we come to believe oft-repeated information that may be misleading or unknown. Behavioral evidence indicates that fluency, the subjective ease experienced while processing information, underlies this effect. This suggests that illusory truth should be mediated by brain regions previously linked to fluency, such as the perirhinal cortex PRC. To investigate this possibility, we scanned participants with fMRI while they rated the truth of unknown statements, half of which were presented earlier i.e., repeated. The only brain region that showed an interaction between repetition and ratings of perceived truth was PRC, where activity increased with truth ratings for repeated, but not for new, statements. This finding supports the hypothesis that illusory truth is mediated by a fluency mechanism and further strengthens the link between PRC and fluency.",""
"Latent learning progress drives autonomous goal selection in human reinforcement learning","https://scispace.com/paper/latent-learning-progress-drives-autonomous-goal-selection-in-41o88abstc","2024","Preprint","","Gaia Molinaro
Cédric Colas
Pierre-Yves Oudeyer
Anne Collins","10.31234/osf.io/5dtx3","https://proceedings.neurips.cc/paper_files/paper/2024/file/38c5feed4b72c96f6cf925ccc9832ecf-Paper-Conference.pdf","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses computational modeling of latent learning progress to explain human goal selection; does not address rats, pigeons, reading, math insight, sudden performance jumps, neural data, cross‑species links, or novel trial‑by‑trial analytics.","Humans are autotelic agents who learn by setting and pursuing their own goals. However, the precise mechanisms guiding human goal selection remain unclear. Learning progress, typically measured as the observed change in performance, can provide a valuable signal for goal selection in both humans and artificial agents. We hypothesize that human choices of goals may also be driven by latent learning progress, which humans can estimate through knowledge of their actions and the environment – even without experiencing immediate changes in performance. To test this hypothesis, we designed a hierarchical reinforcement learning task in which human participants (N = 175) repeatedly chose their own goals and learned goal-conditioned policies. Our behavioral and computational modeling results confirm the influence of latent learning progress on goal selection and uncover inter-individual differences, partially mediated by recognition of the environment’s hierarchical structure. By investigating the role of latent learning progress in human goal selection, we pave the way for more effective and personalized learning experiences as well as the advancement of more human-like autotelic machines. ",""
"How to Detect Insight Moments in Problem Solving Experiments.","https://scispace.com/paper/how-to-detect-insight-moments-in-problem-solving-experiments-4goinz8la6","2018","Journal Article","Frontiers in Psychology","Ruben Laukkonen
Jason M. Tangen","10.3389/FPSYG.2018.00282","https://scispace.com/pdf/how-to-detect-insight-moments-in-problem-solving-experiments-4goinz8la6.pdf","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses novel trial‑by‑trial detection methods for insight moments; applies to mathematical problem solving and links sudden performance jumps across domains, but lacks animal, reading, neural, or developmental data.","Arguably, it is not possible to study insight moments during problem solving without being able to accurately detect when they occur (Bowden and Jung-Beeman, 2007). Despite over a century of research on the insight moment, there is surprisingly little consensus on the best way to measure them in real-time experiments. There have also been no attempts to evaluate whether the different ways of measuring insight converge. Indeed, if it turns out that the popular measures of insight diverge, then this may indicate that researchers who have used one method may have been measuring a different phenomenon to those who have used another method. We compare the strengths and weaknesses of the two most commonly cited ways of measuring insight: The feelings-of-warmth measure adapted from Metcalfe and Wiebe (1987), and the self-report measure adapted from Bowden and Jung-Beeman (2007). We find little empirical agreement between the two measures, and conclude that the self-report measure of Aha! is superior both methodologically and theoretically, and provides a better representation of what is commonly regarded as insight. We go on to describe and recommend a novel visceral measure of insight using a dynamometer as described in Creswell et al. (2016).",""
"Learning to Read and Dyslexia: From Theory to Intervention Through Personalized Computational Models:","https://scispace.com/paper/learning-to-read-and-dyslexia-from-theory-to-intervention-3oe88zqwo7","2020","Journal Article","Current Directions in Psychological Science","Johannes C. Ziegler
Conrad Perry
Marco Zorzi","10.1177/0963721420915873","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a multifactorial computational model to simulate individual reading trajectories, offering a developmental perspective. Provides detailed computational modeling of reading insight, but lacks sudden‑jump data, animal work, neuroimaging, or novel trial‑by‑trial analytics.","How do children learn to read? How do deficits in various components of the reading network affect learning outcomes? How does remediating one or several components change reading performance? In this article, we summarize what is known about learning to read and how this can be formalized in a developmentally plausible computational model of reading acquisition. The model is used to understand normal and impaired reading development (dyslexia). In particular, we show that it is possible to simulate individual learning trajectories and intervention outcomes on the basis of three component skills: orthography, phonology, and vocabulary. We therefore advocate a multifactorial computational approach to understanding reading that has practical implications for dyslexia and intervention.",""
"An information-theoretic foreshadowing of mathematicians’ sudden insights","https://scispace.com/paper/an-information-theoretic-foreshadowing-of-mathematicians-3nf1wkjfv9ss","2025","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Shadab Tabatabaeian
Artemisia O’bi
David Landy
Tyler Marghetis","10.1073/pnas.2502791122","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses information‑theoretic early warning to anticipate mathematicians' insights; provides analytical model of sudden transitions, but lacks trial‑by‑trial performance data, animal or reading studies, neural measures, or cross‑species comparisons.","The ""eureka"" insights that drive progress in science and mathematics remain shrouded in mystery. Sudden, unexpected, appearing like ""flashes of lightning"", these insights have the hallmarks of critical transitions in complex systems. Here, zooming in on mathematicians working on proofs in their own departments, we show that sudden insights are anticipated by a system-agnostic, information-theoretic early warning signal. Using dense behavioral recordings of mathematicians' moment-to-moment activity, we find that their blackboard interactions (e.g., writing, gesturing; [Formula: see text]) became increasingly unpredictable before an insight, analogous to the critical fluctuations that anticipate transitions in physical and ecological systems. We explore analytically when this early warning signal applies to varied systems with discrete, symbolic dynamics. While bibliometric analyses offer a zoomed-out perspective on innovation, publications are a coarse-grained record of individuals' insights. Explaining the sudden insights of innovators, from scientists to sculptors, requires attending to the local, distributed systems of their intellectual activity. ",""
"A 'Small-World' Network Model of Cognitive Insight","https://scispace.com/paper/a-small-world-network-model-of-cognitive-insight-560l6qfauf","2004","Posted Content","Social Science Research Network","Melissa A. Schilling","","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses small‑world graph modeling to explain insight shortcuts, offering a formal computational account. Lacks trial‑by‑trial performance data, animal or reading studies, and neural measurements.","Despite many decades of study, scientists still puzzle over the process of insight. By what mechanism does a person experience that “Aha!” moment, when sudden clarity emerges from a tangled web of thoughts and ideas? This research integrates psychological work on insight with graph theoretic work on “small-world” phenomenon, to construct a theory that explains how insight occurs, how it is similar to and different from more typical learning processes, and why it yields an affective response in the individual. I propose that cognitive insight occurs when an atypical association, forged through random recombination or directed search, results in a ""shortcut"" in an individual's network of representations. This causes a rapid decrease in path length, reorients the individual's understanding of the relationships within and among the affected representations, and can prompt a cascade of other connections. This result is demonstrated by applying graph theoretical analysis to network translations of commonly used insight problems.",""
"Modeling and Visualizing the Codevelopment of Word and Nonword Reading in Children From First Through Fourth Grade: Informing Developmental Trajectories of Children With Dyslexia.","https://scispace.com/paper/modeling-and-visualizing-the-codevelopment-of-word-and-2xdrktwafn","2021","Journal Article","Child Development","Laura M. Steacy
Ashley A. Edwards
Jay G. Rueckl
Yaacov Petscher
Donald L. Compton","10.1111/CDEV.13468","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses longitudinal factor‑growth modeling of word and nonword reading across grades 1‑4; captures developmental trajectories but lacks trial‑by‑trial insight or animal data.","Developmental studies examining relations between word reading (WR) and decoding in typical and dyslexic populations routinely cut the reading distribution to form distinct groups. However, dichotomizing continuous variables to study development is problematic for multiple reasons. Instead, we modeled and visualized the parallel growth of WR and nonword reading (NWR) factor scores longitudinally in a Grade 1-4 developmental sample (N = 588). The results indicate that while WR and NWR growth factors are highly related (r = .71), the relation between WR and NWR trajectories change as a function of initial WR. Results are interpreted within computational models of dyslexia in which children with dyslexia overfit orthography → phonology relations at the level of the word, limiting the development of sublexical representations needed to read nonwords.",""
"Developmental, Component‐Based Model of Reading Fluency: An Investigation of Predictors of Word‐Reading Fluency, Text‐Reading Fluency, and Reading Comprehension","https://scispace.com/paper/developmental-component-based-model-of-reading-fluency-an-58l6gm164q","2015","Journal Article","Reading Research Quarterly","Young-Suk Grace Kim","10.1002/RRQ.107","https://scispace.com/pdf/developmental-component-based-model-of-reading-fluency-an-58l6gm164q.pdf","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses longitudinal data on Korean children to track reading fluency and comprehension development; examines emergent literacy predictors. Does not study sudden insight or animal learning, but provides developmental insight into reading fluency.","The primary goal was to expand our understanding of text reading fluency (efficiency or automaticity)-how its relation to other constructs (e.g., word reading fluency and reading comprehension) changes over time and how it is different from word reading fluency and reading comprehension. We examined (1) developmentally changing relations among word reading fluency, listening comprehension, text reading fluency, and reading comprehension; (2) the relation of reading comprehension to text reading fluency; (3) unique emergent literacy predictors (i.e., phonological awareness, orthographic awareness, morphological awareness, letter name knowledge, vocabulary) of text reading fluency vs. word reading fluency; and (4) unique language and cognitive predictors (e.g., vocabulary, grammatical knowledge, theory of mind) of text reading fluency vs. reading comprehension. These questions were addressed using longitudinal data (two timepoints; Mean age = 5;24 & 6;08) from Korean-speaking children (N = 143). Results showed that listening comprehension was related to text reading fluency at time 2, but not at time 1. At both times text reading fluency was related to reading comprehension, and reading comprehension was related to text reading fluency over and above word reading fluency and listening comprehension. Orthographic awareness was related to text reading fluency over and above other emergent literacy skills and word reading fluency. Vocabulary and grammatical knowledge were independently related to text reading fluency and reading comprehension whereas theory of mind was related to reading comprehension, but not text reading fluency. These results reveal developmental nature of relations and mechanism of text reading fluency in reading development.",""
"A reinforcement-based mechanism for discontinuous learning","https://scispace.com/paper/a-reinforcement-based-mechanism-for-discontinuous-learning-2xte5rd3","2022","Posted Content","bioRxiv","G. Ramalinga Reddy","10.1101/2022.05.06.490910","https://scispace.com/pdf/a-reinforcement-based-mechanism-for-discontinuous-learning-2xte5rd3.pdf","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses biologically‑plausible RL to model sudden insight in mice, providing a formal wave‑propagation framework and longitudinal learning curves, but lacks rat, pigeon, reading, math, neural data, and cross‑species comparisons.","Problem-solving and reasoning involve mental exploration and navigation in sparse relational spaces. A physical analogue is spatial navigation in structured environments such as a network of burrows. Recent experiments with mice navigating a labyrinth show a sharp discontinuity during learning, corresponding to a distinct moment of ‘sudden insight’ when mice figure out long, direct paths to the goal. This discontinuity is seemingly at odds with reinforcement learning (RL), which involves a gradual build-up of a value signal during learning. Here, we show that biologically-plausible RL rules combined with persistent exploration generically exhibit discontinuous learning. In tree-like structured environments, positive feedback from learning on behavior generates a ‘reinforcement wave’ with a steep profile. The discontinuity occurs when the wave reaches the starting point. By examining the nonlinear dynamics of reinforcement propagation, we establish a quantitative relationship between the learning rule, the agent’s exploration biases and learning speed. Predictions explain existing data and motivate specific experiments to isolate the phenomenon. Additionally, we characterize the exact learning dynamics of various RL rules for a complex sequential task.",""
"Dynamics of cognitive predictors during reading acquisition in a sample of children overrepresented for dyslexia risk.","https://scispace.com/paper/dynamics-of-cognitive-predictors-during-reading-acquisition-26ymv6ql","2023","Journal Article","Developmental Science","Lauren Blockmans
Rogier A. Kievit
Jan Wouters
Pol Ghesquière
Maaike Vandermosten","10.1111/desc.13412","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Longitudinal study of reading predictors; tracks PA, RAN, SPIN across grades, but lacks trial‑by‑trial sudden‑fluency data or cross‑species insight analysis.","Literacy acquisition is a complex process with genetic and environmental factors influencing cognitive and neural processes associated with reading. Previous research identified factors that predict word reading fluency (WRF), including phonological awareness (PA), rapid automatized naming (RAN), and speech-in-noise perception (SPIN). Recent theoretical accounts suggest dynamic interactions between these factors and reading, but direct investigations of such dynamics are lacking. Here, we investigated the dynamic effect of phonological processing and speech perception on WRF. More specifically, we evaluated the dynamic influence of PA, RAN, and SPIN measured in kindergarten (the year prior to formal reading instruction), first grade (the first year of formal reading instruction) and second grade on WRF in second and third grade. We also assessed the effect of an indirect proxy of family risk for reading difficulties using a parental questionnaire (Adult Reading History Questionnaire, ARHQ). We applied path modeling in a longitudinal sample of 162 Dutch-speaking children of whom the majority was selected to have an increased family and/or cognitive risk for dyslexia. We showed that parental ARHQ had a significant effect on WRF, RAN and SPIN, but unexpectedly not on PA. We also found effects of RAN and PA directly on WRF that were limited to first and second grade respectively, in contrast to previous research reporting pre-reading PA effects and prolonged RAN effects throughout reading acquisition. Our study provides important new insights into early prediction of later word reading abilities and into the optimal time window to target a specific reading-related subskill during intervention.",""
"El desarrollo de la fluidez en la lectura de palabras en educación primaria: un seguimiento longitudinal de seis años","https://scispace.com/paper/el-desarrollo-de-la-fluidez-en-la-lectura-de-palabras-en-1ytgmxsupn","2015","Journal Article","Infancia Y Aprendizaje","Juan Luis Castejón Costa
Soledad González Pumariega Solís
Fernando Cuetos Vega","","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Tracks six‑year reading fluency development in primary students, providing longitudinal data but lacks sudden‑jump analysis, trial‑by‑trial curves, or cross‑domain insight modeling.","La fluidez lectora es un componente fundamental de la lectura y para conocer su adquisicion es indispensable la realizacion de estudios lon gitudinales. El objetivo de este trabajo fue describir el proceso de adquisicion de la fluidez lectora a nivel de las palabras haciendo un seguimiento de sus dos componentes, precision y velocidad, en un grupo de 31 ninos de 1° a 6° de primaria. Se utilizo una lista de palabras en la que se manipularon las variables longitud, frecuencia y lexicalidad. Los resultados confirman que se obtiene un alto nivel de precision inicial y que la velocidad es mas costosa, sin que llegue a alcanzarse con todos los estimulos el nivel de la automatizacion al finalizar la educacion primaria; los estimulos mas dificiles en castellano son las palabras largas de baja frecuencia. La medida de la velocidad es estable y genera diferencias intragrupo. Los resultados sugieren la necesidad de realizar un entrenamiento especifico del reconocimiento de palabras durante toda la etapa de educacion primaria.",""
"Neurophysiological evidence that perceptions of fluency produce mere exposure effects","https://scispace.com/paper/neurophysiological-evidence-that-perceptions-of-fluency-31jfyqlgfh","2016","Journal Article","Cognitive, Affective, & Behavioral Neuroscience","P. Andrew Leynes
Richard J. Addante","10.3758/S13415-016-0428-1","https://link.springer.com/content/pdf/10.3758/s13415-016-0428-1.pdf","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses ERPs to link fluency with mere exposure; provides neural evidence but lacks sudden learning curves, animal models, or novel analytic methods.","Recent exposure to people or objects increases liking ratings, the “mere exposure effect” (Zajonc in American Psychologist, 35, 117–123, 1968), and an increase in processing fluency has been identified as a potential mechanism for producing this effect. This fluency hypothesis was directly tested by altering the trial-by-trial image clarity (i.e., fluency) while Event-Related Potentials (ERPs) were recorded. In Experiment 1, clarity was altered across two trial blocks that each had homogenous trial-by-trial clarity, whereas clarity varied randomly across trials in Experiment 2. Blocking or randomizing image clarity across trials was expected to produce different levels of relative fluency and alter mere exposure effects. The mere exposure effect (i.e., old products liked more than new products) was observed when stimulus clarity remained constant across trials, and clear image ERPs were more positive than blurry image ERPs. Importantly, these patterns were reversed when clarity varied randomly across test trials, such that participants liked clear images more than blurry (i.e., no mere exposure effect) and clear image ERPs were more negative than blurry image ERPs. The findings provide direct experimental support from both behavioral and electrophysiological measures that, in some contexts, mere exposure is the product of top-down interpretations of fluency.",""
"Mental navigation and the neural mechanisms of insight","https://scispace.com/paper/mental-navigation-and-the-neural-mechanisms-of-insight-2bukmprk","2023","Posted Content","","","10.31234/osf.io/d4rz7","https://psyarxiv.com/d4rz7/download","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Links insight to hippocampal place‑field emergence and sharp‑wave ripples, providing strong neural correlates. Discusses rodents and human cognition, but lacks trial‑by‑trial data, animal‑specific paradigms, or formal computational models.","How do new ideas come about? The central hypothesis presented here states that insights happen during mental navigation and correspond to rapid plasticity at the cellular level. We highlight the differences between neocortical and hippocampal mechanisms of insight. We argue that the suddenness of insight can be related to the sudden emergence of place fields in the hippocampus. According to our hypothesis, insights are supported by a state of mind-wandering that can be tied to the process of combining knowledge pieces during sharp-wave ripples. Our framework connects the dots between research on creativity, mental navigation, and specific synaptic plasticity mechanisms in the hippocampus. ",""
"Early Identification of Reading Difficulties Using Heterogeneous Developmental Trajectories","https://scispace.com/paper/early-identification-of-reading-difficulties-using-11pemjujvh","2008","Journal Article","Journal of Educational Psychology","Christy Boscardin
Bengt Muthén
David J. Francis
Eva L. Baker","10.1037/0022-0663.100.1.192","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses growth mixture modeling on yearly reading measures; tracks developmental profiles across kindergarten to Grade 2, but lacks trial‑by‑trial insight metrics or sudden‑jump analyses.","Serious conceptual and procedural problems associated with current diagnostic methods call for alternative approaches to assessing and diagnosing students with reading problems. This study presents a new analytic model to improve the classification and prediction of children's reading development. Growth mixture modeling was used to identify the presence of 10 different heterogeneous developmental patterns. In all, 411 children in kindergarten through Grade 2 from 3 elementary schools in Texas were administered measures of phonological awareness, word recognition, and rapid naming skills 4 times a year. The mean ages were 5.8 years (SD = 0.35) for the kindergartners, 6.9 years (SD = 0.39) for Grade 1, and 8.0 years (SD = 0.43) for Grade 2; the percentage of boys was 50%. The results indicate that precursor reading skills such as phonological awareness and rapid naming are highly predictive of word reading (word recognition) and that developmental profiles formed in kindergarten are directly associated with development in Grades 1 and 2. Students identified as having reading-related difficulties in kindergarten exhibited slower development of word recognition skills in subsequent years of the study.",""
